Time,lowAlpha,highAlpha,lowBeta,highBeta
553.712577105,2057,1221,5435,6524
554.716504097,1919,7126,4896,5162
555.718950987,14659,2496,2675,3526
556.697933912,22219,45194,18251,11631
557.699179888,27769,12453,9584,14277
558.707735062,16189,4667,2561,7039
559.695549011,5942,7661,9937,5944
560.696209908,1275,1170,5611,16092
561.697575092,2338,3115,1913,5795
562.685075998,1435,1710,3052,2161
563.687572002,678,2439,877,2881
564.688735962,1436,4123,3091,2940
565.666378021,905,2484,1153,4354
566.677589893,5319,5561,3600,19041
567.673053026,940,2342,4148,7616
568.661395073,1841,1761,1904,5642
569.640160084,654,162,2594,4696
570.66385603,2254,1803,495,4548
571.645097971,4404,2104,18823,24312
572.636391878,3283,930,2150,5747
573.656707048,3865,6216,4111,5895
574.640194893,2050,3421,8938,29764
575.617690086,1102,338,1355,8180
576.648930073,6683,1757,896,23942
577.630213976,2182,669,3986,9624
578.619009018,6003,3071,3103,10870
579.635096073,6062,4714,3899,11593
580.612626076,67891,39668,17582,25578
581.605204105,3182,7812,15117,35096
582.620167017,5607,8144,11736,17826
583.608746052,521,1791,4032,7005
584.597728014,1873,1215,4230,23099
585.61145997,1075,2860,4082,5303
586.601428032,681,590,3392,7249
587.576261044,13820,25810,5927,14289
588.597663879,3684,2235,1609,7463
589.590233088,5532,1538,1919,4387
590.567786932,625,1214,2978,4268
591.59274888,6495,3016,2427,5968
592.580236912,917,39824,19009,7451
593.556552887,77016,99186,25160,117386
594.539207935,48940,8518,34181,29705
595.560265064,1416,3337,4445,6303
596.54407692,2781,1221,2429,8326
597.532910109,23710,5387,9203,34586
598.554058075,4250,779,1460,2010
599.542926073,7253,47502,17457,12365
600.519190073,9146,6572,13698,19203
601.540457964,4497,3614,1352,2780
602.530471087,8293,6593,1308,1722
603.509228945,2084,6380,3392,4748
604.53518796,2663,2445,10898,20461
605.520507097,1037,1080,5299,8365
606.497899055,1294,651,2602,3011
607.525722027,160,1728,4919,5396
608.510447979,4477,9282,9845,16574
609.495809078,3509,38129,14452,19262
610.517889977,2032,5781,2254,7428
611.492156982,16352,5771,23466,12423
612.477138996,21206,11849,19475,21432
613.504646063,23634,12148,23149,23654
614.513251066,3696,3194,3719,4432
615.468017101,33640,38477,10901,12600
616.489568949,1750,1104,1083,7700
617.472095966,1891,5911,1826,2725
618.463063002,3383,1038,834,2446
619.463145018,5303,2759,2624,7297
